Simulation ID,Rules,Order ID,Task1_Name,Task1_Start,Task1_End,Task1_Duration,Task2_Name,Task2_Start,Task2_End,Task2_Duration,Task3_Name,Task3_Start,Task3_End,Task3_Duration,Task4_Name,Task4_Start,Task4_End,Task4_Duration,Task5_Name,Task5_Start,Task5_End,Task5_Duration,Priority,Plan Name,Depth,Arrival Time,Due Date,Finish Time,Throughput Time,Total Process Time
Simulation1,FCFS + FCFS,O-48,T1,65.95,70.13,4.179999999999993,T3,70.19,73.78,3.5900000000000034,T2,94.38,96.88,2.5,T4,99.2,,,,,,,2,SampleProcessPlan1,3,39.27,87.71,Not Finished,Not Finished,14.25
Simulation1,FCFS + FCFS,O-49,T4,41.29,45.1,3.8100000000000023,,,,,,,,,,,,,,,,,2,SampleProcessPlan2,1,39.67,89.16,45.1,5.43,3.81
Simulation1,FCFS + FCFS,O-5,T1,5.63,8.09,2.46,T2,8.09,9.95,1.8599999999999994,T3,8.09,9.86,1.7699999999999996,T4,10.97,14.28,3.3099999999999987,,,,,1,SampleProcessPlan1,3,5.63,54.61,14.28,8.65,9.4
Simulation1,FCFS + FCFS,O-50,T4,40.44,45.34,4.900000000000006,T1,45.66,46.87,1.2100000000000009,T3,50.32,53.61,3.289999999999999,T2,52.38,55.67,3.289999999999999,T5,55.67,59.87,4.199999999999996,1,SampleProcessPlan2,4,39.88,84.47,59.87,20.0,16.89
Simulation1,FCFS + FCFS,O-51,T1,66.28,69.17,2.8900000000000006,,,,,,,,,,,,,,,,,2,SampleProcessPlan1,1,39.91,85.83,69.17,29.26,2.89
Simulation1,FCFS + FCFS,O-52,T1,69.17,72.24,3.069999999999993,T3,80.48,84.71,4.22999999999999,,,,,,,,,,,,,2,SampleProcessPlan1,2,40.68,89.73,Not Finished,Not Finished,14.8
Simulation1,FCFS + FCFS,O-53,T1,70.13,71.65,1.5200000000000102,T3,73.78,80.48,6.700000000000003,T2,96.88,,,,,,,,,,,2,SampleProcessPlan1,4,40.83,83.93,Not Finished,Not Finished,23.28
Simulation1,FCFS + FCFS,O-54,T4,45.1,48.48,3.3799999999999955,,,,,,,,,,,,,,,,,2,SampleProcessPlan2,1,40.84,81.74,48.48,7.65,3.38
Simulation1,FCFS + FCFS,O-55,T1,71.65,73.04,1.3900000000000006,T3,73.04,75.76,2.719999999999999,,,,,,,,,,,,,2,SampleProcessPlan1,4,42.46,91.06,Not Finished,Not Finished,15.29
Simulation1,FCFS + FCFS,O-56,T1,46.87,48.13,1.2600000000000051,T2,48.66,53.28,4.6200000000000045,T3,48.67,51.26,2.5899999999999963,T4,54.54,58.29,3.75,,,,,0,SampleProcessPlan1,3,43.72,88.54,58.29,14.58,12.22
Simulation1,FCFS + FCFS,O-57,T4,45.34,49.68,4.339999999999996,T1,51.47,54.47,3.0,T3,59.87,62.02,2.1500000000000057,T2,76.79,84.08,7.289999999999992,,,,,2,SampleProcessPlan2,3,44.6,86.46,84.08,39.48,16.78
Simulation1,FCFS + FCFS,O-58,T1,47.34,51.47,4.1299999999999955,T2,53.28,57.38,4.100000000000001,T3,53.61,57.27,3.6600000000000037,T4,58.29,62.44,4.149999999999999,,,,,0,SampleProcessPlan1,3,45.49,92.01,62.44,16.95,16.04
Simulation1,FCFS + FCFS,O-59,T4,46.48,50.2,3.720000000000006,T1,51.32,55.39,4.07,T2,57.38,60.86,3.479999999999997,T3,58.0,63.53,5.530000000000001,T5,62.22,67.02,4.799999999999997,1,SampleProcessPlan2,4,45.89,89.29,67.02,21.13,21.6
Simulation1,FCFS + FCFS,O-6,T1,9.12,11.92,2.8000000000000007,T2,11.92,15.06,3.1400000000000006,T3,12.46,15.22,2.76,,,,,,,,,0,SampleProcessPlan1,2,5.84,54.86,15.22,9.38,8.7
Simulation1,FCFS + FCFS,O-60,T1,72.24,76.92,4.680000000000007,,,,,,,,,,,,,,,,,2,SampleProcessPlan1,1,46.0,93.59,76.92,30.92,4.68
Simulation1,FCFS + FCFS,O-61,T4,48.48,52.33,3.8500000000000014,,,,,,,,,,,,,,,,,2,SampleProcessPlan2,1,46.05,90.7,52.33,6.28,3.85
Simulation1,FCFS + FCFS,O-62,T1,73.04,74.95,1.9099999999999966,T3,75.76,76.88,1.1199999999999903,T2,86.15,95.18,9.030000000000001,T4,95.18,99.2,4.019999999999996,,,,,2,SampleProcessPlan1,3,47.53,92.73,99.2,51.68,16.08
Simulation1,FCFS + FCFS,O-63,T1,74.95,77.08,2.1299999999999955,,,,,,,,,,,,,,,,,2,SampleProcessPlan1,1,47.56,89.01,77.08,29.52,2.13
Simulation1,FCFS + FCFS,O-64,T1,54.47,59.34,4.8700000000000045,T2,60.86,65.2,4.340000000000003,T3,63.53,65.14,1.6099999999999994,T4,65.2,68.61,3.4099999999999966,,,,,1,SampleProcessPlan1,3,49.06,95.35,68.61,19.56,14.23
Simulation1,FCFS + FCFS,O-65,T4,49.94,54.54,4.600000000000001,T1,55.39,56.89,1.5,T3,65.14,67.3,2.1599999999999966,T2,74.25,76.52,2.269999999999996,,,,,2,SampleProcessPlan2,3,49.94,97.85,76.52,26.58,10.53
Simulation1,FCFS + FCFS,O-66,T1,76.92,85.41,8.489999999999995,,,,,,,,,,,,,,,,,2,SampleProcessPlan1,1,50.63,99.78,85.41,34.79,8.49
Simulation1,FCFS + FCFS,O-67,T1,77.08,80.63,3.549999999999997,,,,,,,,,,,,,,,,,2,SampleProcessPlan1,1,50.66,90.85,80.63,29.97,3.55
Simulation1,FCFS + FCFS,O-68,T4,52.32,57.76,5.439999999999998,T1,59.34,60.87,1.529999999999994,T3,67.3,69.2,1.9000000000000057,T2,76.52,79.23,2.710000000000008,,,,,2,SampleProcessPlan2,3,52.32,99.57,79.23,26.92,11.58
Simulation1,FCFS + FCFS,O-69,T1,80.63,83.68,3.0500000000000114,,,,,,,,,,,,,,,,,2,SampleProcessPlan1,1,52.53,98.67,83.68,31.15,3.05
Simulation1,FCFS + FCFS,O-7,T4,6.42,10.97,4.550000000000001,T1,14.8,19.37,4.57,,,,,,,,,,,,,2,SampleProcessPlan2,2,6.42,52.75,19.37,12.95,9.12
Simulation1,FCFS + FCFS,O-70,T4,53.33,57.58,4.25,T1,59.89,64.3,4.409999999999997,T3,69.2,71.13,1.9299999999999926,T2,79.23,86.15,6.920000000000002,T5,86.15,88.86,2.7099999999999937,2,SampleProcessPlan2,4,53.33,95.45,88.86,35.54,20.22
